levekaar,lksnavn,grunnkrets
1103070008,Stavanger LKS 070008,11031740
1103070008,Stavanger LKS 070008,11031741
1103070008,Stavanger LKS 070008,11031742
1103070009,Stavanger LKS 070009,11031733
1103070009,Stavanger LKS 070009,11031735
1103070009,Stavanger LKS 070009,11031738
1103070009,Stavanger LKS 070009,11031743
1103070009,Stavanger LKS 070009,11031744
1103070010,Stavanger LKS 070010,11031727
1103070010,Stavanger LKS 070010,11031728
1103070011,Stavanger LKS 070011,11031701
1103070011,Stavanger LKS 070011,11031734
1103070011,Stavanger LKS 070011,11031816
1103070012,Stavanger LKS 070012,11031802
1103070012,Stavanger LKS 070012,11031814
1103080001,Stavanger LKS 080001,11031001
1103080001,Stavanger LKS 080001,11031002
1103080001,Stavanger LKS 080001,11031003
1103080001,Stavanger LKS 080001,11031004
1103080001,Stavanger LKS 080001,11031005
1103080001,Stavanger LKS 080001,11031006
1103080001,Stavanger LKS 080001,11031007
1103080001,Stavanger LKS 080001,11031008
1103080001,Stavanger LKS 080001,11031009
1103080001,Stavanger LKS 080001,11031010
1103080001,Stavanger LKS 080001,11031011
1103080001,Stavanger LKS 080001,11031012
1103080001,Stavanger LKS 080001,11031013
1103080001,Stavanger LKS 080001,11031014
1103080001,Stavanger LKS 080001,11031015
1103080001,Stavanger LKS 080001,11031016
1103080001,Stavanger LKS 080001,11031017
1103080001,Stavanger LKS 080001,11031018
1103080001,Stavanger LKS 080001,11031019
1103090001,Stavanger LKS 090001,11031301
1103090001,Stavanger LKS 090001,11031302
1103090001,Stavanger LKS 090001,11031303
1103090001,Stavanger LKS 090001,11031304
1103090002,Stavanger LKS 090002,11031101
1103090002,Stavanger LKS 090002,11031401
1103090002,Stavanger LKS 090002,11031402
1103090002,Stavanger LKS 090002,11031403
1103090002,Stavanger LKS 090002,11031404
1103090002,Stavanger LKS 090002,11031405
1103090002,Stavanger LKS 090002,11031406
1106000001,Haugesund LKS 01,11060709
1106000002,Haugesund LKS 02,11060714
1106000002,Haugesund LKS 02,11060715
1106000003,Haugesund LKS 03,11060204
1106000003,Haugesund LKS 03,11060207
1106000003,Haugesund LKS 03,11060208
1106000003,Haugesund LKS 03,11060713
1106000004,Haugesund LKS 04,11060105
1106000004,Haugesund LKS 04,11060106
1106000004,Haugesund LKS 04,11060108
1106000004,Haugesund LKS 04,11060109
1106000004,Haugesund LKS 04,11060201
1106000004,Haugesund LKS 04,11060202
1106000004,Haugesund LKS 04,11060203
1106000004,Haugesund LKS 04,11060205
1106000005,Haugesund LKS 05,11060101
1106000005,Haugesund LKS 05,11060307
1106000006,Haugesund LKS 06,11060102
1106000006,Haugesund LKS 06,11060103
1106000006,Haugesund LKS 06,11060104
1106000006,Haugesund LKS 06,11060305
1106000006,Haugesund LKS 06,11060306
1106000007,Haugesund LKS 07,11060107
1106000007,Haugesund LKS 07,11060301
1106000007,Haugesund LKS 07,11060302
1106000007,Haugesund LKS 07,11060303
1106000007,Haugesund LKS 07,11060304
1106000008,Haugesund LKS 08,11060206
1106000008,Haugesund LKS 08,11060209
1106000008,Haugesund LKS 08,11060210
1106000008,Haugesund LKS 08,11060212
1106000009,Haugesund LKS 09,11060211
1106000009,Haugesund LKS 09,11060213
1106000009,Haugesund LKS 09,11060605
1106000009,Haugesund LKS 09,11060705
1106000009,Haugesund LKS 09,11060706
1106000010,Haugesund LKS 10,11060606
1106000010,Haugesund LKS 10,11060702
1106000010,Haugesund LKS 10,11060703
1106000010,Haugesund LKS 10,11060704
1106000010,Haugesund LKS 10,11060707
1106000011,Haugesund LKS 11,11060602
1106000011,Haugesund LKS 11,11060603
1106000011,Haugesund LKS 11,11060604
1106000012,Haugesund LKS 12,11060504
1106000012,Haugesund LKS 12,11060505
1106000012,Haugesund LKS 12,11060506
1106000012,Haugesund LKS 12,11060507
1106000012,Haugesund LKS 12,11060514
1106000012,Haugesund LKS 12,11060515
1106000012,Haugesund LKS 12,11060516
1106000012,Haugesund LKS 12,11060517
1106000012,Haugesund LKS 12,11060518
1106000012,Haugesund LKS 12,11060519
1106000013,Haugesund LKS 13,11060404
1106000013,Haugesund LKS 13,11060502
1106000013,Haugesund LKS 13,11060503
1106000013,Haugesund LKS 13,11060508
1106000013,Haugesund LKS 13,11060509
1106000013,Haugesund LKS 13,11060512
1106000013,Haugesund LKS 13,11060513
1106000013,Haugesund LKS 13,11060520
1106000014,Haugesund LKS 14,11060402
1106000014,Haugesund LKS 14,11060403
1106000014,Haugesund LKS 14,11060501
1106000014,Haugesund LKS 14,11060510
1106000014,Haugesund LKS 14,11060511
1106000015,Haugesund LKS 15,11060806
1106000015,Haugesund LKS 15,11060807
1106000015,Haugesund LKS 15,11060808
1106000015,Haugesund LKS 15,11060809
1106000016,Haugesund LKS 16,11060601
1106000016,Haugesund LKS 16,11060801
1106000016,Haugesund LKS 16,11060802
1106000016,Haugesund LKS 16,11060804
1106000016,Haugesund LKS 16,11060805
1106000017,Haugesund LKS 17,11060701
1106000017,Haugesund LKS 17,11060710
1106000017,Haugesund LKS 17,11060711
1106000017,Haugesund LKS 17,11060712
1106000018,Haugesund LKS 18,11060905
1106000018,Haugesund LKS 18,11060906
1106000018,Haugesund LKS 18,11060908
1106000019,Haugesund LKS 19,11060803
1106000019,Haugesund LKS 19,11060904
1106000020,Haugesund LKS 20,11060901
1106000020,Haugesund LKS 20,11060902
1106000020,Haugesund LKS 20,11060903
1106000021,Haugesund LKS 21,11060911
1106000022,Haugesund LKS 22,11060909
1106000022,Haugesund LKS 22,11060910
1106000023,Haugesund LKS 23,11060401
1106000023,Haugesund LKS 23,11060907
1106000023,Haugesund LKS 23,11060912
1106000023,Haugesund LKS 23,11060913
1106000023,Haugesund LKS 23,11060914
1106000023,Haugesund LKS 23,11060915
1106000023,Haugesund LKS 23,11060916
1106000023,Haugesund LKS 23,11060917
1106000023,Haugesund LKS 23,11060918
1106000023,Haugesund LKS 23,11060919
1106000023,Haugesund LKS 23,11060920
1108000001,Sandnes LKS 01,11080201
1108000001,Sandnes LKS 01,11080301
1108000001,Sandnes LKS 01,11080401
1108000001,Sandnes LKS 01,11080402
1108000002,Sandnes LKS 02,11080202
1108000002,Sandnes LKS 02,11080203
1108000003,Sandnes LKS 03,11080204
1108000004,Sandnes LKS 04,11080205
1108000005,Sandnes LKS 05,11080206
1108000005,Sandnes LKS 05,11080211
1108000005,Sandnes LKS 05,11080212
1108000005,Sandnes LKS 05,11080213
1108000006,Sandnes LKS 06,11080207
1108000006,Sandnes LKS 06,11080210
1108000007,Sandnes LKS 07,11080103
1108000007,Sandnes LKS 07,11080104
1108000007,Sandnes LKS 07,11080109
1108000007,Sandnes LKS 07,11080110
1108000007,Sandnes LKS 07,11080113
1108000007,Sandnes LKS 07,11080116
1108000007,Sandnes LKS 07,11080122
1108000007,Sandnes LKS 07,11080123
1108000007,Sandnes LKS 07,11080124
1108000007,Sandnes LKS 07,11080701
1108000008,Sandnes LKS 08,11080102
1108000008,Sandnes LKS 08,11080105
1108000008,Sandnes LKS 08,11080108
1108000008,Sandnes LKS 08,11080112
1108000008,Sandnes LKS 08,11080115
1108000008,Sandnes LKS 08,11080118
1108000008,Sandnes LKS 08,11080119
1108000009,Sandnes LKS 09,11080101
1108000009,Sandnes LKS 09,11080208
1108000010,Sandnes LKS 10,11080209
1108000011,Sandnes LKS 11,11080214
1108000011,Sandnes LKS 11,11080305
1108000012,Sandnes LKS 12,11080106
1108000012,Sandnes LKS 12,11080107
1108000012,Sandnes LKS 12,11080111
1108000012,Sandnes LKS 12,11080114
1108000012,Sandnes LKS 12,11080303
1108000013,Sandnes LKS 13,11080302
1108000014,Sandnes LKS 14,11080117
1108000014,Sandnes LKS 14,11080304
1108000014,Sandnes LKS 14,11080405
1108000015,Sandnes LKS 15,11080403
1108000016,Sandnes LKS 16,11080404
1108000017,Sandnes LKS 17,11080406
1108000018,Sandnes LKS 18,11080504
1108000019,Sandnes LKS 19,11080501
1108000019,Sandnes LKS 19,11080502
1108000020,Sandnes LKS 20,11080503
1108000020,Sandnes LKS 20,11080506
1108000021,Sandnes LKS 21,11080605
1108000021,Sandnes LKS 21,11080611
1108000021,Sandnes LKS 21,11080612
1108000021,Sandnes LKS 21,11080619
1108000022,Sandnes LKS 22,11080613
1108000023,Sandnes LKS 23,11080614
1108000023,Sandnes LKS 23,11080615
1108000023,Sandnes LKS 23,11080616
1108000023,Sandnes LKS 23,11080617
1108000024,Sandnes LKS 24,11080505
1108000025,Sandnes LKS 25,11080507
1108000026,Sandnes LKS 26,11080604
1108000027,Sandnes LKS 27,11080608
1108000027,Sandnes LKS 27,11080618
1108000028,Sandnes LKS 28,11080603
1108000028,Sandnes LKS 28,11080606
1108000028,Sandnes LKS 28,11080607
1108000029,Sandnes LKS 29,11080601
1108000029,Sandnes LKS 29,11080602
1108000030,Sandnes LKS 30,11080609
1108000031,Sandnes LKS 31,11080702
1108000032,Sandnes LKS 32,11080703
1108000032,Sandnes LKS 32,11080706
1108000032,Sandnes LKS 32,11080708
1108000032,Sandnes LKS 32,11080710
1108000033,Sandnes LKS 33,11080704
1108000033,Sandnes LKS 33,11080705
1108000033,Sandnes LKS 33,11080707
1108000033,Sandnes LKS 33,11080709
1108000033,Sandnes LKS 33,11080901
1108000033,Sandnes LKS 33,11080910
1108000034,Sandnes LKS 34,11080904
1108000034,Sandnes LKS 34,11080905
1108000035,Sandnes LKS 35,11080902
1108000036,Sandnes LKS 36,11080903
1108000036,Sandnes LKS 36,11080906
1108000036,Sandnes LKS 36,11080907
1108000036,Sandnes LKS 36,11080908
1108000036,Sandnes LKS 36,11080909
1108000037,Sandnes LKS 37,11080801
1108000037,Sandnes LKS 37,11080802
1108000037,Sandnes LKS 37,11080803
1108000037,Sandnes LKS 37,11080804
1108000037,Sandnes LKS 37,11080805
1108000037,Sandnes LKS 37,11080807
1108000037,Sandnes LKS 37,11081001
1108000037,Sandnes LKS 37,11081002
1108000037,Sandnes LKS 37,11081003
1108000037,Sandnes LKS 37,11081004
1108000038,Sandnes LKS 38,11080806
1108000038,Sandnes LKS 38,11080808
1108000039,Sandnes LKS 39,11081102
1108000039,Sandnes LKS 39,11081103
1108000039,Sandnes LKS 39,11081104
1108000039,Sandnes LKS 39,11081105
1108000039,Sandnes LKS 39,11081106
1108000039,Sandnes LKS 39,11081107
1149000001,Karmøy LKS 01,11490607
1149000001,Karmøy LKS 01,11490608
1149000001,Karmøy LKS 01,11490701
1149000001,Karmøy LKS 01,11490702
1149000002,Karmøy LKS 02,11490605
1149000002,Karmøy LKS 02,11490606
1149000003,Karmøy LKS 03,11490513
1149000003,Karmøy LKS 03,11490601
1149000003,Karmøy LKS 03,11490602
1149000003,Karmøy LKS 03,11490603
1149000003,Karmøy LKS 03,11490604
1149000004,Karmøy LKS 04,11490503
1149000004,Karmøy LKS 04,11490504
1149000004,Karmøy LKS 04,11490505
1149000004,Karmøy LKS 04,11490506
1149000004,Karmøy LKS 04,11490509
1149000004,Karmøy LKS 04,11490511
1149000004,Karmøy LKS 04,11490512
1149000005,Karmøy LKS 05,11490507
1149000005,Karmøy LKS 05,11490508
1149000005,Karmøy LKS 05,11490510
1149000006,Karmøy LKS 06,11490309
1149000006,Karmøy LKS 06,11490401
1149000006,Karmøy LKS 06,11490402
1149000006,Karmøy LKS 06,11490403
1149000006,Karmøy LKS 06,11490404
1149000006,Karmøy LKS 06,11490501
1149000006,Karmøy LKS 06,11490502
1149000007,Karmøy LKS 07,11490306
1149000007,Karmøy LKS 07,11490308
1149000008,Karmøy LKS 08,11490302
1149000008,Karmøy LKS 08,11490304
1149000008,Karmøy LKS 08,11490305
1149000009,Karmøy LKS 09,11490301
1149000009,Karmøy LKS 09,11490303
1149000009,Karmøy LKS 09,11490307
1149000010,Karmøy LKS 10,11490201
1149000010,Karmøy LKS 10,11490202
1149000010,Karmøy LKS 10,11490203
1149000010,Karmøy LKS 10,11490204
1149000011,Karmøy LKS 11,11490101
1149000011,Karmøy LKS 11,11490102
1149000011,Karmøy LKS 11,11490103
1149000012,Karmøy LKS 12,11490104
1149000012,Karmøy LKS 12,11490105
1149000013,Karmøy LKS 13,11490609
1149000013,Karmøy LKS 13,11490610
1149000013,Karmøy LKS 13,11490703
1149000013,Karmøy LKS 13,11490704
1149000014,Karmøy LKS 14,11490705
1149000014,Karmøy LKS 14,11490706
1149000014,Karmøy LKS 14,11490801
1149000014,Karmøy LKS 14,11490805
1149000015,Karmøy LKS 15,11490802
1149000015,Karmøy LKS 15,11490803
1149000015,Karmøy LKS 15,11490901
1149000015,Karmøy LKS 15,11490902
1149000015,Karmøy LKS 15,11490903
1149000016,Karmøy LKS 16,11490904
1149000016,Karmøy LKS 16,11490905
1149000016,Karmøy LKS 16,11490906
1149000016,Karmøy LKS 16,11490907
1149000017,Karmøy LKS 17,11490804
1149000017,Karmøy LKS 17,11490806
1149000017,Karmøy LKS 17,11490908
1149000017,Karmøy LKS 17,11490909
1149000018,Karmøy LKS 18,11491001
1149000018,Karmøy LKS 18,11491002
1149000018,Karmøy LKS 18,11491003
1149000018,Karmøy LKS 18,11491004
1149000019,Karmøy LKS 19,11491012
1149000019,Karmøy LKS 19,11491013
1149000019,Karmøy LKS 19,11491014
1149000020,Karmøy LKS 20,11491010
1149000020,Karmøy LKS 20,11491011
1149000021,Karmøy LKS 21,11491007
1149000021,Karmøy LKS 21,11491008
1149000021,Karmøy LKS 21,11491009
1149000021,Karmøy LKS 21,11491015
1506000001,Molde LKS 01,15061001
1506000001,Molde LKS 01,15061002
1506000001,Molde LKS 01,15061003
1506000001,Molde LKS 01,15061004
1506000001,Molde LKS 01,15061005
1506000001,Molde LKS 01,15061006
1506000001,Molde LKS 01,15061007
1506000001,Molde LKS 01,15061008
1506000001,Molde LKS 01,15061009
1506000001,Molde LKS 01,15061010
1506000001,Molde LKS 01,15061011
1506000002,Molde LKS 02,15060101
1506000002,Molde LKS 02,15060102
1506000002,Molde LKS 02,15060103
1506000003,Molde LKS 03,15060104
1506000003,Molde LKS 03,15060105
1506000003,Molde LKS 03,15060106
1506000004,Molde LKS 04,15060207
1506000004,Molde LKS 04,15060304
1506000004,Molde LKS 04,15060306
1506000004,Molde LKS 04,15060707
1506000005,Molde LKS 05,15060204
1506000005,Molde LKS 05,15060205
1506000005,Molde LKS 05,15060206
1506000006,Molde LKS 06,15060201
1506000006,Molde LKS 06,15060202
1506000006,Molde LKS 06,15060203
1506000006,Molde LKS 06,15060301
1506000007,Molde LKS 07,15060302
1506000007,Molde LKS 07,15060303
1506000007,Molde LKS 07,15060305
1506000007,Molde LKS 07,15060404
1506000008,Molde LKS 08,15060405
1506000008,Molde LKS 08,15060505
1506000008,Molde LKS 08,15060506
1506000009,Molde LKS 09,15060403
1506000009,Molde LKS 09,15060503
1506000009,Molde LKS 09,15060504
1506000010,Molde LKS 10,15060307
1506000010,Molde LKS 10,15060401
1506000010,Molde LKS 10,15060402
1506000010,Molde LKS 10,15060406
1506000010,Molde LKS 10,15060501
1506000010,Molde LKS 10,15060502
1506000011,Molde LKS 11,15060507
1506000011,Molde LKS 11,15060508
1506000011,Molde LKS 11,15060509
1506000012,Molde LKS 12,15060601
1506000012,Molde LKS 12,15060602
1506000012,Molde LKS 12,15060603
1506000012,Molde LKS 12,15060604
1506000012,Molde LKS 12,15060605
1506000012,Molde LKS 12,15060606
1506000012,Molde LKS 12,15060607
1506000012,Molde LKS 12,15060608
1506000013,Molde LKS 13,15060801
1506000013,Molde LKS 13,15060802
1506000013,Molde LKS 13,15060803
1506000013,Molde LKS 13,15060804
1506000013,Molde LKS 13,15060805
1506000013,Molde LKS 13,15060806
1506000013,Molde LKS 13,15060807
1506000013,Molde LKS 13,15060808
1506000013,Molde LKS 13,15060809
1506000013,Molde LKS 13,15060810
1506000013,Molde LKS 13,15060811
1506000013,Molde LKS 13,15060812
1506000013,Molde LKS 13,15060813
1506000013,Molde LKS 13,15060814
1506000013,Molde LKS 13,15060901
1506000013,Molde LKS 13,15060902
1506000013,Molde LKS 13,15060903
1506000013,Molde LKS 13,15060904
1506000013,Molde LKS 13,15060905
1506000013,Molde LKS 13,15060906
1506000014,Molde LKS 14,15060510
1506000014,Molde LKS 14,15060701
1506000014,Molde LKS 14,15060702
1506000014,Molde LKS 14,15060703
1506000014,Molde LKS 14,15060704
1506000014,Molde LKS 14,15060705
1506000014,Molde LKS 14,15060706
1508000001,Ålesund LKS 01,15081301
1508000001,Ålesund LKS 01,15081302
1508000001,Ålesund LKS 01,15081303
1508000001,Ålesund LKS 01,15081304
1508000001,Ålesund LKS 01,15081305
1508000001,Ålesund LKS 01,15081306
1508000001,Ålesund LKS 01,15081308
1508000001,Ålesund LKS 01,15081309
1508000002,Ålesund LKS 02,15080103
1508000002,Ålesund LKS 02,15080104
1508000003,Ålesund LKS 03,15080101
1508000003,Ålesund LKS 03,15080102
1508000004,Ålesund LKS 04,15080201
1508000004,Ålesund LKS 04,15080202
1508000004,Ålesund LKS 04,15080203
1508000004,Ålesund LKS 04,15080204
1508000005,Ålesund LKS 05,15080205
1508000005,Ålesund LKS 05,15080206
1508000005,Ålesund LKS 05,15080301
1508000005,Ålesund LKS 05,15080302
1508000005,Ålesund LKS 05,15080303
1508000006,Ålesund LKS 06,15081001
1508000006,Ålesund LKS 06,15081002
1508000006,Ålesund LKS 06,15081003
1508000006,Ålesund LKS 06,15081004
1508000006,Ålesund LKS 06,15081005
1508000006,Ålesund LKS 06,15081006
1508000006,Ålesund LKS 06,15081007
1508000007,Ålesund LKS 07,15080304
1508000007,Ålesund LKS 07,15080305
1508000007,Ålesund LKS 07,15080306
1508000008,Ålesund LKS 08,15080307
1508000008,Ålesund LKS 08,15080308
1508000008,Ålesund LKS 08,15080309
1508000009,Ålesund LKS 09,15080401
1508000009,Ålesund LKS 09,15080402
1508000010,Ålesund LKS 10,15080403
1508000010,Ålesund LKS 10,15080404
1508000010,Ålesund LKS 10,15080405
1508000011,Ålesund LKS 11,15080501
1508000011,Ålesund LKS 11,15080502
1508000011,Ålesund LKS 11,15080503
1508000012,Ålesund LKS 12,15080601
1508000012,Ålesund LKS 12,15080602
1508000012,Ålesund LKS 12,15080603
1508000013,Ålesund LKS 13,15080504
1508000013,Ålesund LKS 13,15080505
1508000013,Ålesund LKS 13,15080506
1508000013,Ålesund LKS 13,15080507
1508000014,Ålesund LKS 14,15080604
1508000014,Ålesund LKS 14,15080605
1508000014,Ålesund LKS 14,15080606
1508000015,Ålesund LKS 15,15080701
1508000015,Ålesund LKS 15,15080702
1508000015,Ålesund LKS 15,15080703
